nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
REDO Black,75.0,https://nae-vegan.com/it-it/products/redo-black,donna,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Redo Nero Sneakers alte vegane stringate,Nae,"<79,99€"
REDO Grey,75.0,https://nae-vegan.com/it-it/products/redo-grey,donna,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Grey,Redo Grigio Sneakers alte vegane stringate,Nae,"<79,99€"
MOLLY Brown,135.0,https://nae-vegan.com/it-it/products/molly-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Molly Brown Stivaletto Chelsea Vegano,Nae,>=120€
VIKKY Black,135.0,https://nae-vegan.com/it-it/products/vikky-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Vikky Black Stivaletto Chelsea Vegano,Nae,>=120€
MOLLY Black,135.0,https://nae-vegan.com/it-it/products/molly-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Molly Black Stivaletto Chelsea Vegano,Nae,>=120€
Double the Style: Molly Boots in Black & Brown,229.0,https://nae-vegan.com/it-it/products/double-the-style-molly-boots-in-black-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Love Molly boots? Get them in black and brown with a 15% discount!,Nae,>=120€
LYDIA Black,155.0,https://nae-vegan.com/it-it/products/lydia-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Lydia Nero Stivali Vegani con Tacco,Nae,>=120€
IONA Black,215.0,https://nae-vegan.com/it-it/products/iona-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Iona Nero Stivali vegani con tacco alto al ginocchio,Nae,>=120€
SELMA Black,135.0,https://nae-vegan.com/it-it/products/selma-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Selma Black Stivaletto Chelsea Vegano,Nae,>=120€
CIRCE Black,145.0,https://nae-vegan.com/it-it/products/circe-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Circe Black Stivaletti Vegani,Nae,>=120€
GRETA Black,175.0,https://nae-vegan.com/it-it/products/greta-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Greta Black Stivale Vegano Alto,Nae,>=120€
ODET Green,128.0,https://nae-vegan.com/it-it/products/odet-green,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Green,Odet Stivali Vegani Biker alla Caviglia Verdi,Nae,>=120€
ODET Black,128.0,https://nae-vegan.com/it-it/products/odet-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Odet Nero Stivali Biker alla Caviglia Vegan,Nae,>=120€
ALICIA Black,138.0,https://nae-vegan.com/it-it/products/alicia-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Alicia Black Stivaletti Vegani,Nae,>=120€
ALICIA Brown,138.0,https://nae-vegan.com/it-it/products/alicia-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Alicia Brown Stivaletti Vegani,Nae,>=120€
Alicia and Camp Brown,153.0,https://nae-vegan.com/it-it/products/alicia-and-camp-brown,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Brown ankle boots and matching vegan belt – 15% off!,Nae,>=120€
TECLA Green,145.0,https://nae-vegan.com/it-it/products/tecla-green,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Green,Tecla Green Zip-Up Micro Vegan Boots,Nae,>=120€
TECLA Black,145.0,https://nae-vegan.com/it-it/products/tecla-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Tecla Nero Zip-Up Micro Stivali Vegan,Nae,>=120€
ADAR Green,135.0,https://nae-vegan.com/it-it/products/adar-green,donna,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Adar Verde Stivaletti invernali vegani da montagna,Nae,>=120€
ADAR Grey,135.0,https://nae-vegan.com/it-it/products/adar-grey,donna,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Adar Grigio Stivaletto invernale di montagna vegano,Nae,>=120€
GADEA Black,145.0,https://nae-vegan.com/it-it/products/gadea-black,donna,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Gadea Stivale caldo da montagna vegano nero,Nae,>=120€
GADEA Brown,145.0,https://nae-vegan.com/it-it/products/gadea-brown,donna,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Brown,Gadea Stivale caldo di montagna vegano marrone,Nae,>=120€
MARCA Black,135.0,https://nae-vegan.com/it-it/products/marca-black,donna,Stivali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Marca Black Stivale di Stile Militare Vegano,Nae,>=120€
RESTA Black,138.0,https://nae-vegan.com/it-it/products/resta-black,donna,Stivali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Resta Nero Stivali Vegani alla Caviglia Allacciati,Nae,>=120€
SIMA Black,145.0,https://nae-vegan.com/it-it/products/sima-black,donna,Stivali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Sima Black Platform Mid-Calf Vegan Boots,Nae,>=120€
OKINA Green,110.0,https://nae-vegan.com/it-it/products/okina_green_vegan_sandals,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani dal design ecologico ed ecocompatibile,Nae,"100–119,99€"
OKINA Black,110.0,https://nae-vegan.com/it-it/products/okina_black_vegan_sandals,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani dal design eco-compatibile e dal tacco alto,Nae,"100–119,99€"
TONGA Black,110.0,https://nae-vegan.com/it-it/products/tonga_black_vegan_sandals,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con un design ecologico a tripla fascia,Nae,"100–119,99€"
TONGA Green,110.0,https://nae-vegan.com/it-it/products/tonga_green_vegan_sandals,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con un design ecologico a tripla fascia,Nae,"100–119,99€"
DAVU Black,110.0,https://nae-vegan.com/it-it/products/davu_nera_sandali_vegani,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con cinturino incrociato e design a punta,Nae,"100–119,99€"
DAVU Green,110.0,https://nae-vegan.com/it-it/products/davu_verde_sandali_vegani,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con cinturini incrociati di colore verde,Nae,"100–119,99€"
LAU Black,110.0,https://nae-vegan.com/it-it/products/lau_neri_sandali_vegani,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Sandali vegani con cinturino parallelo e design a punta,Nae,"100–119,99€"
LAU Green,110.0,https://nae-vegan.com/it-it/products/lau_verdi_sandali_vegani,uomo,Sandali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,Sandali vegani con cinturini verdi paralleli,Nae,"100–119,99€"
TUPAI Black,85.0,https://nae-vegan.com/it-it/products/tupai_black_pinatex,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Sandali vegani anatomici con design criss-cross in Piñatex,Nae,"80–99,99€"
TUPAI Green,85.0,https://nae-vegan.com/it-it/products/tupai_green_pinatex_36,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,,Nae,"80–99,99€"
